ID;DEPARTAMENTO;ACCESS POINT;ATA AUDIOCODES;EQUIPO CLIENTE;EQUIPO SERVIDOR;IMPRESORA LASER;MESA PARA TV O IMPRESORA;SKY EDGE WEB ENHANCE;SWITCH 8 PUERTOS;TELEFONO PUBLICO;"TELEVISOR 42""";Total general
50353;BOLIVAR;AP2378;AT2179;;ES2913;IM2330;ME3096;SE2239;SW2150;TP2383;TV2279;9
50354;BOLIVAR;AP2121;AT2431;;ES2351;IM2162;ME3135;SE2362;SW2420;TP2231;TV2330;9
50355;BOLIVAR;AP2152;AT2352;;;IM2372;ME2993;SE2152;SW2142;TP2172;TV2222;8
50356;BOLIVAR;AP2437;AT2164;;ES2117;IM2217;ME2884;SE2184;SW2353;TP2414;TV2264;9
50357;BOLIVAR;AP2154;AT2354;;ES2324;IM2287;ME3093;SE2154;SW2144;TP2327;TV2224;9
50359;BOLIVAR;AP2108;AT2308;;ES2208;IM2168;ME3024;SE2368;SW2328;TP3576;TV2248;9
50360;BOLIVAR;AP2114;AT2448;;ES2214;IM2912;ME3030;SE2374;SW2334;TP2123;TV2254;9
50361;CAUCA;AP0527;AT0247;;ES0064;IM0414;ME1449;SE0514;SW0486;TP0074;TV0701;9
50362;CAUCA;AP0140;AT0140;;;;;SE0140;SW0140;TP0140;TV0140;6
50363;CAUCA;AP0447;AT3199;;ES2205;IM3469;ME1620;SE0836;SW0050;;TV0449;8
50365;CAUCA;AP0806;AT0555;;ES0406;IM0556;ME1007;SE0057;SW0206;TP0834;TV0605;9
50366;CAUCA;AP0459;AT2905;;ES3139;IM2881;ME3529;SE0310;SW0310;TP4055;TV0250;9
50367;CAUCA;AP0171;AT0171;;ES0171;IM0171;;SE0171;SW0171;TP0171;TV0171;8
50368;CAUCA;AP0137;AT0137;;ES0137;IM3281;;SE0137;SW0137;TP0137;TV0137;8
50369;CAUCA;AP0152;AT0152;;ES0152;IM0152;ME1582;SE0152;SW0152;TP0152;TV0152;9
50370;CAUCA;AP0526;AT0246;;ES0063;IM0413;ME1448;SE0513;SW0485;TP0073;TV0700;9
50371;CAUCA;AP0525;AT0820;;ES0505;IM0252;ME1549;SE0323;SW0484;TP0594;TV0234;9
50373;CAUCA;AP0143;AT0143;;ES0143;IM0143;ME1372;SE0143;SW0143;TP0143;TV0143;9
50374;CAUCA;AP0868;AT0906;;ES1041;IM0938;ME3632;SE1138;SW0929;TP0380;TV0950;9
50375;CAUCA;AP0138;AT0138;;ES0138;IM0138;ME1382;SE0138;SW0138;TP0138;TV0138;9
50376;CAUCA;AP0465;AT0844;;ES0465;IM0215;ME1523;SE0350;SW0315;TP3406;TV0206;9
50377;CORDOBA;AP1367;AT1660;;ES1297;IM1598;ME2089;SE1497;SW1404;TP1546;TV1606;9
50378;VALLE DEL CAUCA;AP0866;AT0907;;ES0742;IM0936;ME2014;SE1136;SW0928;TP0746;TV0742;9
50379;VALLE DEL CAUCA;AP0988;AT1168;;ES2982;IM0888;ME1979;SE0898;SW1188;TP0987;TV1188;9
50380;BOLIVAR;AP2316;AT2316;;;IM2376;ME3020;SE2117;SW2426;TP2176;TV2226;8
50382;BOLIVAR;AP2432;AT2169;;ES1390;IM2212;ME2873;SE2189;SW2452;TP2206;TV2896;9
50383;BOLIVAR;AP2455;AT2305;;ES2164;IM2152;ME3149;SE2254;SW2404;TP5207;TV2293;9
50384;BOLIVAR;AP2321;AT2321;;ES2331;IM2381;ME3005;SE2121;SW2431;TP2183;TV2980;9
50385;BOLIVAR;AP2320;AT2320;;ES2330;IM2388;ME3004;SE2120;SW2430;TP2182;TV2230;9
50390;CAUCA;AP0709;AT0709;;ES0709;IM0709;ME3587;SE0709;SW0709;TP0709;TV0709;9
50391;CAUCA;AP0040;AT0040;;ES0040;;ME3682;SE0040;SW0040;TP0534;TV0442;8
50392;CAUCA;AP0711;AT0711;;ES0711;IM3610;ME1234;SE0711;SW0711;TP0711;TV0711;9
50393;CAUCA;AP0710;AT0710;;ES0710;IM0710;;SE0710;SW0710;TP3489;TV0710;8
50394;CAUCA;AP0478;AT0831;;ES2972;IM0228;ME3671;SE0337;SW0457;TP0316;TV2930;9
50395;CAUCA;AP0726;AT0726;;ES0726;IM0726;ME1221;SE0726;SW0726;TP3370;TV0726;9
50396;CAUCA;AP0582;AT0368;;ES0552;IM0095;ME1126;SE0578;SW0086;TP0662;TV0500;9
50397;CAUCA;AP0725;AT0725;;ES0725;IM2785;ME1223;SE2756;SW0725;TP0725;TV0725;9
50398;CAUCA;AP0480;AT0833;;ES0480;IM0230;;SE0339;SW0459;TP0318;TV0221;8
50399;CAUCA;AP0194;AT0194;;ES0194;IM0194;ME1696;SE0194;SW0194;TP0194;TV0194;9
50400;CAUCA;AP0222;AT0056;;ES0821;IM3531;ME1567;SE0016;SW0088;TP0388;TV0470;9
50402;CAUCA;AP2783;AT2783;;ES2783;IM2783;ME3352;SE2783;SW2783;TP2783;TV2783;9
50403;CORDOBA;AP1296;AT1225;;ES1453;;ME2212;SE1545;SW1245;TP1345;TV1375;8
50404;CORDOBA;AP1335;AT1429;;ES1267;IM1570;ME2278;SE1469;SW1379;TP1360;TV1639;9
50405;CORDOBA;AP1444;AT1317;;ES1337;;ME2277;SE1644;SW1344;TP1544;TV1344;8
50406;SUCRE;AP1782;AT3039;;ES1782;IM1782;ME2579;SE1785;SW1782;TP2028;TV1782;9
50407;SUCRE;AP1721;AT1721;;ES1721;IM1721;ME2520;SE1721;SW1721;TP1722;TV1721;9
50408;VALLE DEL CAUCA;AP1144;AT0885;;;IM1195;ME2032;SE1045;SW0985;TP0885;TV1085;8
50409;CAUCA;AP0522;AT0093;;ES0502;IM2877;;SE0320;SW0481;TP3899;TV0237;8
50410;CORDOBA;AP1284;AT1233;;ES2951;IM1343;ME2238;SE1533;SW1233;;TV2966;8
50411;VALLE DEL CAUCA;AP0879;AT1109;;ES1059;IM0909;ME1754;SE1149;SW1009;TP3349;;8
50412;VALLE DEL CAUCA;AP0993;AT1173;;ES0943;IM0893;ME1969;SE0903;SW1193;TP1142;TV1193;9
50414;VALLE DEL CAUCA;AP0955;AT1135;;ES1127;IM0975;;SE1115;SW1035;TP1068;TV1015;8
50415;VALLE DEL CAUCA;AP1196;AT1076;;ES0885;IM3598;ME1860;SE0876;SW0895;TP1026;TV1126;9
50417;VALLE DEL CAUCA;AP1061;AT1054;;ES0856;IM1054;ME1878;SE0893;SW1111;TP1153;TV0904;9
50418;VALLE DEL CAUCA;AP0882;AT1112;;ES1062;IM0912;ME1752;SE1152;SW1012;;TV1052;8
50419;VALLE DEL CAUCA;AP0914;AT1124;;ES3092;IM3118;ME3390;SE0924;SW0924;TP0895;TV0944;9
50420;VALLE DEL CAUCA;AP0964;AT1204;;ES0914;IM0864;ME1992;SE1064;SW1164;TP1059;TV1164;9
50421;VALLE DEL CAUCA;AP0911;AT1121;;ES2909;IM1001;ME2006;SE0921;SW0921;TP1066;TV0941;9
50422;VALLE DEL CAUCA;AP1094;AT1044;;ES1194;;ME1850;SE0867;SW1131;TP1057;TV0958;8
50423;VALLE DEL CAUCA;AP0992;AT1172;;ES0942;IM0892;ME3743;SE0902;SW1192;TP0991;TV1192;9
50424;BOLIVAR;AP2406;AT2186;;ES2136;IM2106;;SE2156;SW2306;;TV2386;7
50425;SUCRE;AP2005;AT2061;;ES1999;IM1948;ME2734;SE2066;SW2005;TP2005;TV1948;9
50426;SUCRE;AP1719;AT1719;;ES1719;IM1719;ME2513;SE1719;SW1719;TP1853;TV1719;9
50427;BOLIVAR;AP2124;AT2434;;ES2354;IM2165;ME3133;SE2356;SW2417;TP2234;TV2327;9
50429;BOLIVAR;AP2411;AT2191;;ES2916;IM3174;ME0877;SE2161;SW2311;TP2389;TV2390;9
50430;BOLIVAR;AP2414;AT2193;;ES2144;IM2985;ME2902;SE2164;SW2314;TP2390;TV2394;9
50431;BOLIVAR;AP2434;AT2167;;ES2114;IM2214;ME2880;SE2187;SW2454;TP2417;TV2267;9
50432;BOLIVAR;AP2430;AT2171;;ES2110;IM2210;ME2878;SE2191;SW2450;TP2352;TV2271;9
50433;BOLIVAR;AP2159;AT2124;;ES2126;IM2226;ME3101;SE2236;SW2146;TP2256;TV2168;9
50434;BOLIVAR;AP2111;AT2447;;ES2213;IM2173;ME3029;SE2373;SW2333;TP2247;TV2253;9
50435;BOLIVAR;AP2153;AT2353;;ES2323;IM2373;ME2992;SE2153;SW2143;TP2173;TV2223;9
50437;BOLIVAR;AP2393;AT2288;;ES2198;IM2138;ME2986;SE2228;SW2389;TP2445;TV2297;9
50438;BOLIVAR;AP2110;AT2310;;ES2210;IM2170;ME3025;SE2370;SW2330;TP2376;TV2250;9
50439;BOLIVAR;AP2310;AT2450;;ES2220;IM3474;ME3026;SE2380;SW2340;TP2180;TV2310;9
50441;BOLIVAR;AP2142;AT2342;;ES2313;IM2362;ME2997;SE2142;SW2132;TP2160;TV2212;9
50443;CAUCA;AP0479;AT0832;;ES0479;IM0229;;SE0338;SW0458;TP0317;TV0220;8
50444;CAUCA;AP0477;AT0830;;ES0477;;;SE0336;SW0456;TP0835;TV0218;7
50445;CAUCA;AP0431;AT0848;;ES0087;IM3563;ME3606;SE0675;SW0576;TP0095;TV0248;9
50446;CAUCA;AP0179;AT0179;;ES0179;IM0622;ME1674;SE0179;SW0179;TP0179;TV0179;9
50447;CAUCA;AP0041;AT0041;;ES0041;IM0041;ME1496;SE0041;SW0041;TP0041;TV0443;9
50448;CAUCA;AP0545;AT0400;;ES0378;IM0624;ME1147;SE0544;SW0384;TP0210;TV0553;9
50449;CAUCA;AP0509;AT0821;;ES0489;IM0239;ME1639;SE0328;SW0468;TP0536;TV0245;9
50450;CAUCA;AP0523;AT0819;;ES3112;IM0250;ME3600;SE0321;SW0482;TP0474;TV0232;9
50453;CAUCA;AP0741;AT0741;;ES0741;IM3240;ME3564;SE0741;SW0741;TP0247;TV0741;9
50454;CAUCA;AP0707;AT0707;;ES0707;IM0707;ME1686;SE0707;SW0707;TP0707;TV0707;9
50455;CAUCA;AP0148;AT0148;;ES0148;IM0684;ME3667;SE0148;SW0148;TP0851;TV0148;9
50457;CAUCA;AP0559;AT0579;;ES0597;IM2994;ME1184;SE0236;SW0102;TP0477;TV0513;9
50460;CAUCA;AP0133;AT0133;;ES0133;;;SE0133;SW0133;TP0326;TV0133;7
50461;CAUCA;AP0112;AT0112;;ES0112;IM0112;ME1352;SE4058;SW0112;TP3501;TV0112;9
50462;CAUCA;AP0189;AT0189;;ES0189;IM0189;ME3624;SE0189;SW0189;TP0189;TV0189;9
50463;CAUCA;AP0042;AT0042;;ES0042;IM0042;ME1591;SE0042;SW0042;TP0042;TV0444;9
50464;CAUCA;AP0461;AT0852;;ES0461;IM0211;;SE0311;SW0311;TP0099;TV0252;8
50466;CAUCA;AP0409;AT0252;;ES0737;IM0409;ME1644;SE0506;SW0010;TP0556;TV0409;9
50468;CAUCA;AP0797;AT0797;;ES0797;IM0797;ME1289;SE0797;SW0797;TP0288;TV0797;9
50469;CAUCA;AP0169;AT0169;;ES0169;IM0169;ME1676;SE0169;SW0169;TP0625;TV0169;9
50470;CAUCA;AP0497;AT0219;;ES0094;IM0445;ME1682;SE0685;SW0333;TP0072;TV0079;9
50471;CAUCA;AP0127;AT0127;;ES0127;IM0127;ME3656;SE0127;SW0127;;TV0127;8
50473;CAUCA;AP0139;AT0139;;ES0139;IM3224;ME1385;SE0139;SW0139;TP0139;TV0139;9
50474;CAUCA;AP0722;AT0722;;ES0011;IM2961;ME1533;SE0722;SW0722;TP0722;TV0667;9
50475;CAUCA;AP0869;AT0908;;ES1042;IM0939;ME3634;SE1139;SW0926;TP3669;TV0951;9
50477;CAUCA;AP0045;AT0045;;ES0045;IM3495;ME3613;SE0045;SW0045;TP3067;TV0447;9
50478;CAUCA;AP0581;AT2915;;ES0551;IM0094;ME1115;SE0577;SW0085;TP3715;TV0499;9
50479;CAUCA;AP0182;AT0182;;ES0182;IM0182;ME1657;SE0182;SW0182;TP0507;TV0182;9
50480;CAUCA;AP0156;AT0156;;ES0200;IM0156;ME3615;SE0156;SW0156;;TV0156;8
50483;CAUCA;AP0708;AT0708;;ES0708;IM3124;ME3608;SE0708;SW0708;TP0853;TV0708;9
50485;CAUCA;AP0372;AT0425;;ES0324;IM3221;ME3548;SE0625;SW0616;TP4034;TV0011;9
50486;CAUCA;AP0175;AT0175;;ES0175;IM0175;ME1246;SE0175;SW0175;TP0386;TV0175;9
50487;CAUCA;AP0113;AT0113;;ES0113;IM0113;ME1353;SE0113;SW0113;TP0113;TV0113;9
50489;CORDOBA;AP1329;AT1421;;ES1281;IM3127;ME3831;SE1481;SW1374;TP1380;TV1301;9
50490;CORDOBA;AP1483;AT1529;;ES1476;IM1626;ME2333;SE1364;SW1426;TP1476;TV1678;9
50492;CORDOBA;AP1562;AT1262;;ES1652;IM1582;ME2247;SE1302;SW1302;TP1253;TV1631;9
50494;CORDOBA;AP1563;AT1263;;ES1653;IM2906;ME2245;SE1303;SW1303;;TV2970;8
50495;CORDOBA;AP1286;AT1235;;ES1385;IM1345;ME2239;SE1535;SW1235;TP1335;TV1385;9
50498;CORDOBA;AP1315;AT1255;;ES1365;;ME2492;;SW1215;TP1315;TV1405;7
50499;CORDOBA;AP1407;AT1347;;ES2956;IM1629;;SE1607;SW1307;TP1457;TV1683;8
50500;CORDOBA;AP1614;AT1453;;ES1614;IM1463;ME2379;SE1318;SW1264;TP1616;TV1564;9
50501;CORDOBA;AP1326;AT1419;;ES3077;IM1309;ME3808;SE1479;SW1369;TP3254;TV1299;9
50503;CORDOBA;AP1476;AT1378;;ES1479;IM1630;ME2339;SE1228;SW1427;TP1514;TV1684;9
50504;CORDOBA;AP1332;;;ES1278;IM1308;ME2399;SE1478;SW1368;TP1376;TV1298;8
50507;CORDOBA;AP1431;AT1330;;ES1331;IM3304;ME2378;SE1631;SW1331;TP1615;TV1331;9
50508;CORDOBA;AP1613;AT1452;;ES3122;IM3382;ME2445;SE1263;SW1263;TP1649;TV1563;9
50510;CORDOBA;AP1434;AT1455;;ES1334;IM3189;ME2132;SE1634;SW1334;TP1617;TV1440;9
50511;CORDOBA;AP1608;AT1447;;ES1608;IM1290;ME2450;SE1258;SW1258;TP1650;TV1558;9
50512;CORDOBA;AP1406;AT1346;;ES1307;IM1507;ME2149;SE1606;SW1306;TP1508;TV1307;9
50513;CORDOBA;AP1432;AT1331;;ES1332;IM1532;ME2140;SE1632;SW1332;TP1652;TV1332;9
50516;CORDOBA;AP1446;AT1306;;ES1355;IM1546;ME2101;SE1646;SW1346;TP1238;TV1346;9
50519;CORDOBA;AP1414;AT1354;;ES0140;IM1514;ME2147;SE1614;SW1314;TP1512;TV1314;9
50520;CORDOBA;AP1308;AT1249;;ES1357;IM1360;ME2497;SE1243;SW1443;TP3445;TV1221;9
50523;CORDOBA;AP1688;AT1552;;ES1584;IM1432;ME2357;;SW1643;TP1694;TV1459;8
50524;CORDOBA;AP1429;AT1328;;ES1329;IM1529;ME2135;SE1629;SW1329;TP3447;TV1329;9
50525;CORDOBA;AP1311;AT1251;;ES1362;IM1362;ME2275;SE1510;SW1211;TP1302;TV1401;9
50526;CORDOBA;AP1610;AT1449;;ES1610;IM3529;;SE1260;SW1260;TP1653;TV1560;8
50527;CORDOBA;AP1305;AT1215;;ES0938;IM1325;ME2221;SE1555;SW1255;TP1355;TV1365;9
50528;CORDOBA;AP1553;AT1693;;ES1314;IM1515;ME2367;SE1378;SW1473;;TV1507;8
50529;CORDOBA;AP1433;AT1332;;ES1333;IM1533;ME2137;SE1633;SW1333;TP1642;TV1333;9
50531;CORDOBA;AP1606;;;ES1606;IM1401;;SE1256;SW1256;TP1654;TV1556;7
50532;CORDOBA;AP1415;AT1355;;ES3087;IM3430;ME2150;SE1615;SW1315;TP1506;TV1315;9
50533;CORDOBA;AP1435;AT1334;;ES1335;IM2968;ME2136;SE1635;SW1335;TP1534;TV1335;9
50534;CORDOBA;AP1425;AT1345;;ES1325;IM1516;ME2121;SE1616;SW1316;;TV1325;8
50535;CORDOBA;AP1422;AT1591;;ES1322;IM1519;ME3762;SE1619;SW1319;TP3407;TV1322;9
50537;CORDOBA;AP1421;AT1341;;;IM1520;ME2189;SE1620;SW1320;TP4706;TV1321;8
50539;CORDOBA;AP1417;AT3072;;ES1316;;ME2433;SE1625;SW1325;TP3483;TV1316;8
50542;CORDOBA;AP1279;AT1229;;ES1379;IM3064;ME2240;SE1529;SW1229;;TV1379;8
50543;CORDOBA;AP1507;AT1484;;ES0262;IM1244;ME2482;SE1344;SW1584;;TV1504;8
50544;CORDOBA;AP1466;AT1287;;ES1496;;ME3791;SE1246;SW1446;TP4691;TV1666;8
50545;CORDOBA;AP1255;AT1583;;ES1533;IM1281;ME2463;SE1576;SW1615;TP1289;TV1219;9
50546;CORDOBA;AP1504;AT1357;;ES1464;IM1608;ME2345;SE1208;SW1413;TP1294;TV1688;9
50547;GUAVIARE;AP2621;AT2621;;ES2621;IM2621;ME2680;SE2621;SW2621;TP2642;TV2621;9
50548;GUAVIARE;AP2613;AT2613;;ES2613;IM2613;ME3273;SE2613;SW2613;TP2613;TV2613;9
50550;META;AP2470;AT1833;;ES2470;IM2489;ME3205;SE2470;SW2492;TP2456;TV2492;9
50551;META;AP2502;AT2502;;ES2950;IM2511;ME3239;SE2502;SW2502;;TV2502;8
50553;META;AP2537;AT2537;;ES2537;IM2537;ME3182;SE2537;SW2537;TP2537;TV2537;9
50554;META;AP2533;AT2533;;ES2533;;ME3195;SE2533;SW2533;TP3513;TV2533;8
50555;SUCRE;AP1790;AT1790;;ES1790;IM1790;ME2582;SE1790;SW1790;TP1790;TV1790;9
50556;SUCRE;AP1775;AT1775;;ES1775;IM1775;ME2570;SE1775;SW1775;TP4931;TV1775;9
50558;SUCRE;AP1774;AT1774;;ES3017;IM1774;;SE1774;SW1774;TP2101;TV1848;8
50559;SUCRE;AP1820;AT1819;;ES1819;IM1814;ME2658;SE1827;SW1818;TP3444;TV1820;9
50560;SUCRE;AP1758;AT1758;;ES1758;IM3618;ME2553;SE1758;SW1758;TP2014;TV1758;9
50561;SUCRE;AP1778;AT1778;;ES1778;IM1778;;SE1778;SW1778;TP4923;TV1778;8
50562;SUCRE;AP1752;AT1752;;ES1752;;ME2546;SE1752;SW1752;TP1752;TV1752;8
50564;SUCRE;AP1923;AT1974;;ES2011;IM2012;ME2814;SE1929;SW1849;TP4904;TV1962;9
50565;SUCRE;AP1845;AT1904;;ES1837;IM3406;ME2803;SE1854;SW1837;TP3588;TV1837;9
50566;SUCRE;AP1874;AT1874;;ES1874;IM3340;ME3922;SE1874;SW1874;TP2051;TV1874;9
50567;VALLE DEL CAUCA;AP0996;AT1176;;ES0946;IM0896;ME1778;SE1092;SW1196;TP3450;TV1196;9
50568;VALLE DEL CAUCA;AP0991;AT1171;;ES0941;IM0891;ME1966;SE0901;SW1191;TP2812;TV1191;9
50569;VALLE DEL CAUCA;AP0912;AT1122;;ES1052;IM1002;ME2001;SE0922;SW0922;TP0952;TV0942;9
50570;VALLE DEL CAUCA;AP0889;AT1139;;ES1019;;ME2023;SE0949;SW1049;TP0919;TV0929;8
50571;VALLE DEL CAUCA;AP1043;AT0998;;ES0998;IM3374;ME1937;SE1013;SW1103;TP1083;TV0999;9
50572;VALLE DEL CAUCA;AP1194;AT1074;;ES0874;IM1124;ME1762;SE0875;SW0884;TP1024;TV1124;9
50573;VALLE DEL CAUCA;AP0968;AT1188;;ES0918;IM0868;ME1982;SE1068;SW1168;TP0969;TV1168;9
50575;VALLE DEL CAUCA;AP1060;AT1053;;ES0859;IM3373;ME1861;SE0892;SW1110;TP1154;TV0903;9
50576;VALLE DEL CAUCA;AP1203;AT1083;;ES0879;;ME3715;SE0883;SW0888;TP3413;TV1133;8
50577;VALLE DEL CAUCA;AP1002;AT1182;;ES0959;;;;SW1202;;;4
50578;VALLE DEL CAUCA;AP1003;AT1183;;ES0952;IM0903;ME3372;SE1099;SW1203;TP1003;TV1203;9
50579;VALLE DEL CAUCA;AP1161;AT1092;;ES0892;IM3584;ME1806;SE1163;SW0861;TP0865;TV1151;9
50580;VALLE DEL CAUCA;AP1183;AT1063;;ES0864;IM1113;ME1876;SE0887;SW0867;TP1013;TV1113;9
50581;VALLE DEL CAUCA;AP0924;AT0944;;ES1104;IM0964;ME3720;SE0914;SW1024;TP0944;TV1044;9
50583;VALLE DEL CAUCA;AP0933;AT1164;;ES1153;IM2975;ME1999;SE0909;SW1184;TP0868;TV1103;9
50584;SUCRE;AP1716;AT1716;;ES1716;IM1716;ME2515;SE1716;SW1716;TP1949;TV1716;9
50585;BOLIVAR;AP2274;AT2208;;ES2378;IM3337;ME2893;SE2423;SW2158;;TV2423;8
50586;BOLIVAR;AP2148;AT2348;;ES2318;IM2368;ME3125;SE2148;SW2138;TP2168;TV2218;9
50587;CAUCA;AP0500;AT0222;;ES0090;IM0440;ME1589;SE0680;SW0336;TP0067;TV0082;9
50588;CORDOBA;AP1463;AT1400;;ES1475;IM1439;ME2312;SE1220;SW1421;TP1834;TV1228;9
50589;CORDOBA;AP1579;AT1499;;ES1658;IM1218;ME2376;SE1321;SW1559;TP1613;TV1279;9
50590;VALLE DEL CAUCA;AP0962;AT1202;;ES0923;IM0862;ME1994;SE1062;SW1162;;TV1057;8
50591;BOLIVAR;AP2212;AT2958;;ES3098;IM2408;ME2894;SE2265;SW2223;TP3064;TV2422;9
50593;BOLIVAR;AP2151;AT2351;;ES2321;IM2371;ME3128;SE2151;SW2141;;TV2221;8
50594;BOLIVAR;AP2327;AT2326;;ES2337;IM2386;ME3866;SE2127;SW2437;TP2339;TV2237;9
50595;BOLIVAR;AP2309;AT2452;;ES2219;IM2179;ME3036;SE2379;SW2339;;TV2311;8
50596;BOLIVAR;AP2306;AT2312;;ES2212;IM2172;ME3028;SE2372;SW2332;TP2246;TV2252;9
50597;BOLIVAR;AP2149;AT2349;;ES2319;IM2369;ME3127;SE2149;SW2139;TP2169;TV2219;9
50598;BOLIVAR;;AT2355;;ES2325;IM2375;ME3129;SE2155;SW2145;TP2175;TV2225;8
50599;BOLIVAR;AP2311;AT2311;;ES0325;IM2171;ME3027;SE2371;SW2331;TP3057;TV2251;9
50600;BOLIVAR;AP2417;AT2965;;ES2147;IM2118;ME2862;SE2167;SW2317;TP3748;TV2397;9
50601;BOLIVAR;AP2409;AT3145;;ES2139;IM2109;ME3854;SE2159;SW2309;TP3486;TV2389;9
50602;BOLIVAR;AP2109;AT2309;;ES2209;IM2306;ME3021;SE2369;SW2329;TP2338;TV2249;9
50603;CAUCA;AP0193;AT0193;;ES0193;IM0193;ME1663;SE0193;SW0193;TP0193;TV0193;9
50604;CAUCA;AP0141;AT0141;;ES0141;IM0141;ME1244;SE0141;SW0141;TP0141;TV0141;9
50605;CAUCA;AP0501;AT0223;;ES0091;IM0441;;SE0681;SW0337;TP0068;TV0083;8
50606;CAUCA;AP0740;AT0740;;ES0740;IM0740;;SE0740;SW0740;TP0855;TV0740;8
50607;CAUCA;AP0513;AT0808;;ES0493;IM0243;ME1643;SE0326;SW0472;TP0081;TV0231;9
50608;CAUCA;AP0174;AT0174;;ES0174;IM0174;ME1233;SE0174;SW0174;TP0659;TV0174;9
50612;CAUCA;AP0049;AT0049;;ES0048;IM0049;;SE0048;SW0048;TP3996;TV0451;8
50613;CAUCA;AP0602;AT0580;;ES0598;IM0848;ME1566;SE0237;SW0103;TP0688;TV0514;9
50615;CAUCA;AP0050;AT0050;;ES0049;IM0050;ME1621;SE0050;SW0049;TP0050;TV0452;9
50617;CAUCA;AP0298;AT0298;;ES0298;;;SE0298;SW0298;;TV0298;6
50618;CAUCA;AP0285;AT0285;;ES0285;IM0285;ME1415;SE0285;SW0285;TP0285;TV0285;9
50620;CAUCA;AP0739;AT3054;;ES0739;IM3496;ME1360;SE0739;SW0739;TP3582;TV0739;9
50621;CAUCA;AP0134;AT0134;;ES0134;IM3347;;;SW0134;TP2943;TV0134;7
50622;CAUCA;AP0520;AT0231;;ES0116;IM0430;ME1210;SE0309;SW0306;TP0499;TV0236;9
50623;CAUCA;AP0258;AT0258;;ES0258;IM0258;ME3572;SE0258;SW0258;;TV0258;8
50624;CAUCA;AP0161;AT0161;;ES0161;IM0161;ME1652;SE0161;SW0161;TP0161;TV0161;9
50625;CAUCA;AP2952;AT3211;;ES0257;IM0257;ME1444;SE0257;SW2955;;TV0257;8
50626;CAUCA;AP0115;AT3026;;ES0115;IM0785;ME1211;SE0115;SW0115;;TV0115;8
50627;CAUCA;AP0159;AT0159;;ES0159;IM0679;ME1206;SE0159;SW0159;TP0159;TV0159;9
50628;CAUCA;AP0473;AT0839;;;IM0198;ME1546;SE0316;SW0198;TP0102;TV0239;8
50629;CAUCA;AP0730;AT0730;;ES0730;IM3425;ME1509;SE0730;SW0730;TP0730;TV0730;9
50630;CAUCA;AP1617;AT0432;;ES0332;IM0382;ME1172;SE0632;SW0504;TP0226;;8
50631;CAUCA;AP0510;AT0822;;ES0490;IM0240;ME1638;SE0329;SW0469;TP3274;TV0246;9
50632;CAUCA;AP0293;AT0293;;ES0293;IM0293;ME1430;SE0293;SW0293;TP0293;TV0293;9
50633;CAUCA;AP0110;AT0110;;ES0110;IM0110;ME1049;SE0110;SW0110;TP0491;TV0110;9
50634;CAUCA;AP0294;AT0294;;ES0294;IM0294;ME1431;SE0294;SW0294;TP0294;TV0294;9
50636;CAUCA;AP0408;AT0253;;ES0736;IM0408;ME1633;SE0507;SW0009;TP0557;TV0408;9
50637;CAUCA;AP0197;AT0197;;;IM3220;ME3601;SE0197;SW0197;TP0528;TV0197;8
50640;CAUCA;AP0204;AT0204;;ES0204;;ME1239;SE0452;SW0204;TP0485;TV0204;8
50641;CAUCA;AP0469;AT0842;;ES0469;IM3375;;SE0348;SW0319;TP0089;TV0210;8
50642;CAUCA;AP0201;AT0201;;ES0157;IM0201;ME1396;SE0201;SW0201;TP0201;TV0201;9
50643;CORDOBA;AP1493;AT1373;;ES1581;IM1649;ME2322;SE1436;SW1437;TP4592;TV1697;9
50644;CORDOBA;AP1508;AT1483;;ES1689;IM3006;;SE1343;SW1583;TP1604;TV1503;8
50645;CORDOBA;AP1465;AT1403;;ES1467;IM1616;ME2315;SE1223;SW1423;TP1407;TV1663;9
50646;CORDOBA;AP1437;AT1324;;ES1275;;ME2420;SE1637;SW1337;TP1244;TV1337;8
50647;CORDOBA;AP1458;AT1402;;ES1473;IM1623;ME2318;SE1222;SW1422;TP1413;TV1255;9
50648;CORDOBA;AP1495;AT1257;;ES1436;;ME2323;SE1245;SW1445;TP1447;TV1705;8
50649;CORDOBA;AP1573;AT1290;;ES1643;IM1213;ME2429;SE1252;SW1277;TP1438;TV1294;9
50650;CORDOBA;AP1269;AT1239;;ES0593;IM1446;ME2201;SE1519;SW1219;TP1326;TV1389;9
50651;CORDOBA;AP1661;AT1471;;ES1702;IM1252;ME2158;SE1351;SW1506;TP1292;TV1491;9
50653;META;AP2498;AT2498;;ES2498;IM2498;ME3324;SE2498;SW2498;TP2974;TV2498;9
50654;META;AP2611;AT2611;;ES2611;IM2611;ME3254;SE2611;SW2611;TP2467;TV2611;9
50655;META;AP0003;AT0003;;;IM0003;ME3326;SE0003;SW0003;TP0844;;7
50656;META;AP2514;AT3031;;ES2514;IM2514;ME3196;SE2514;SW2514;TP3601;TV2514;9
50658;SUCRE;AP1781;AT1781;;ES1781;IM1781;ME2577;SE1784;SW1781;TP2040;TV1781;9
50659;SUCRE;AP1783;AT1783;;ES1783;IM1783;ME2578;SE1792;SW1783;TP4939;TV1783;9
50660;SUCRE;AP1735;AT1735;;ES1735;IM3263;ME2530;SE1735;SW1735;TP1997;TV1735;9
